DateTime,Contas - Pessoa Jurídica,Contas - Pessoa Física,Total
2022-02-28,12333613,261179373,273512986
2022-03-31,12912902,271490950,284403852
2022-04-30,13610466,281299042,294909508
2022-05-31,14321749,292366460,306688209
2022-06-30,14998314,302273905,317272219
2022-07-31,15630895,312069261,327700156
2022-08-31,16334708,322305865,338640573
2022-09-30,16992041,331329820,348321861
2022-10-31,17584324,339051645,356635969
2022-11-30,18164173,347960928,366125101
2022-12-31,18610567,356325599,374936166
2023-01-31,19161607,365430925,384592532
2023-02-28,19654688,373497958,393152646
2023-03-31,20260369,383529752,403790121
2023-04-30,20851300,389585865,410437165
2023-05-31,21522196,397458769,418980965
2023-06-30,22087281,405185736,427273017
2023-07-31,22599405,413118865,435718270
2023-08-31,23219553,421712927,444932480
2023-09-30,23760042,429374194,453134236
2023-10-31,24321282,437465541,461786823
2023-11-30,24878588,445690414,470569002
2023-12-31,25345958,453220005,478565963
2024-01-31,25652301,461647824,487300125
